instance,shape,size,name,dtype
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamSize,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogX,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogY,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/height,int32
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAmp,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAvg,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjSigma,float64
Dataset,"(2048,)",2048,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjection,float64
Dataset,"(1080, 2048)",2211840,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageRawData,int16
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageTimeStamp,int64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityAvg,float64
Dataset,"(1000,)",1000,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityHistogram,int32
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityRMS,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensitySigma,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/pixelSize,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjAmp,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjAvg,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjSigma,float64
Dataset,"(1080,)",1080,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjection,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/width,int32
Group,,,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings,
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/delayTime,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/exposureTime,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/gain,int64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/triggerMode,|S2
Group,,,/AwakeEventData/BOVWA.01TCV4.CAM8,
Group,,,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/beamIntensity,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/beamSize,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/cogX,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/cogY,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/height,int32
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjAmp,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjAvg,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjSigma,float64
Dataset,"(2592,)",2592,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjection,float64
Dataset,"(2048, 2592)",5308416,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/imageRawData,int16
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/imageTimeStamp,int64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityAvg,float64
Dataset,"(1000,)",1000,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityHistogram,int32
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityRMS,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensitySigma,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/pixelSize,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjAmp,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjAvg,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjSigma,float64
Dataset,"(2048,)",2048,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjection,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/width,int32
Group,,,/AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings,
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/delayTime,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/exposureTime,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/gain,int64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/triggerMode,|S2
Group,,,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02,
Group,,,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/beamIntensity,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/beamSize,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/cogX,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/cogY,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/height,int32
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjAmp,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjAvg,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjSigma,float64
Dataset,"(1280,)",1280,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjection,float64
Dataset,"(960, 1280)",1228800,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/imageRawData,int16
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/imageTimeStamp,int64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityAvg,float64
Dataset,"(1000,)",1000,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityHistogram,int32
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityRMS,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensitySigma,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/pixelSize,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjAmp,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjAvg,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjSigma,float64
Dataset,"(960,)",960,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjection,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/width,int32
Group,,,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings,
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/delayTime,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/exposureTime,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/gain,int64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/triggerMode,|S2
Group,,,/AwakeEventData/BOVWA.02TSG40.CAM7,
Group,,,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/beamIntensity,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/beamSize,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/cogX,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/cogY,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/height,int32
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjAmp,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjAvg,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjSigma,float64
Dataset,"(1920,)",1920,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjection,float64
Dataset,"(1200, 1920)",2304000,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/imageRawData,int16
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/imageTimeStamp,int64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityAvg,float64
Dataset,"(1000,)",1000,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityHistogram,int32
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityRMS,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensitySigma,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/pixelSize,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjAmp,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjAvg,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjSigma,float64
Dataset,"(1200,)",1200,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjection,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/width,int32
Group,,,/AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings,
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/delayTime,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/exposureTime,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/gain,int64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/triggerMode,|S2
Group,,,/AwakeEventData/BOVWA.03TT41.CAM3,
Group,,,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,
Dataset,"(1,)",1,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/beamIntensity,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/beamSize,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/cogX,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/cogY,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/height,int32
Dataset,"(1,)",1,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjAmp,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjAvg,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjSigma,float64
Dataset,"(1920,)",1920,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjection,float64
Dataset,"(1200, 1920)",2304000,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/imageRawData,int16
Dataset,"(1,)",1,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/imageTimeStamp,int64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityAvg,float64
Dataset,"(1000,)",1000,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityHistogram,int32
Dataset,"(1,)",1,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityRMS,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensitySigma,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/pixelSize,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjAmp,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjAvg,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjSigma,float64
Dataset,"(1200,)",1200,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjection,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/width,int32
Group,,,/AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings,
Dataset,"(1,)",1,/AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/delayTime,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/exposureTime,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/gain,int64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/triggerMode,|S2
Group,,,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04,
Group,,,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/beamIntensity,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/beamSize,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/cogX,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/cogY,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/height,int32
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjAmp,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjAvg,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjSigma,float64
Dataset,"(1600,)",1600,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjection,float64
Dataset,"(1200, 1600)",1920000,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/imageRawData,int16
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/imageTimeStamp,int64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityAvg,float64
Dataset,"(1000,)",1000,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityHistogram,int32
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityRMS,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensitySigma,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/pixelSize,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjAmp,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjAvg,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjSigma,float64
Dataset,"(1200,)",1200,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjection,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/width,int32
Group,,,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings,
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/delayTime,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/exposureTime,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/gain,int64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/triggerMode,|S2
Group,,,/AwakeEventData/BOVWA.04TT41.CAM4,
Group,,,/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/beamIntensity,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/beamSize,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/cogX,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/cogY,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/height,int32
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjAmp,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjAvg,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjSigma,float64
Dataset,"(1920,)",1920,/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjection,float64
Dataset,"(1200, 1920)",2304000,/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/imageRawData,int16
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/imageTimeStamp,int64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityAvg,float64
Dataset,"(1000,)",1000,/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityHistogram,int32
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityRMS,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensitySigma,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/pixelSize,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjAmp,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjAvg,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjSigma,float64
Dataset,"(1200,)",1200,/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjection,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/width,int32
Group,,,/AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings,
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/delayTime,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/exposureTime,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/gain,int64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/triggerMode,|S2
Group,,,/AwakeEventData/BOVWA.05TT41.CAM5,
Group,,,/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,
Dataset,"(1,)",1,/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/beamIntensity,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/beamSize,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/cogX,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/cogY,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/height,int32
Dataset,"(1,)",1,/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjAmp,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjAvg,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjSigma,float64
Dataset,"(1920,)",1920,/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjection,float64
Dataset,"(1200, 1920)",2304000,/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/imageRawData,int16
Dataset,"(1,)",1,/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/imageTimeStamp,int64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityAvg,float64
Dataset,"(1000,)",1000,/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityHistogram,int32
Dataset,"(1,)",1,/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityRMS,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensitySigma,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/pixelSize,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjAmp,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjAvg,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjSigma,float64
Dataset,"(1200,)",1200,/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjection,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/width,int32
Group,,,/AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings,
Dataset,"(1,)",1,/AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/delayTime,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/exposureTime,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/gain,int64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/triggerMode,|S2
Group,,,/AwakeEventData/BOVWA.06TCC4.AWAKECAM06,
Group,,,/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage,
Dataset,"(1,)",1,/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/beamIntensity,float64
Dataset,"(1,)",1,/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/beamSize,float64
